lat,lon
33.7718929,-84.3724984
33.7535215,-84.3927913
33.718042,-84.414527
33.7283264,-84.4331871
33.726932,-84.3643036
33.7552469,-84.4652196
33.727714,-84.4083628
33.700133,-84.453557
33.7331717,-84.4170864
33.7869266,-84.3895317
33.7711903,-84.412411
33.7705624,-84.4113986
33.7530965,-84.4740456
33.7475949,-84.295332
33.7286059,-84.4134471
33.76341,-84.3680469
33.7240629,-84.4023013
33.7513249,-84.3927321
33.7561075,-84.4509974
33.7561075,-84.4509974
33.7301372,-84.3857396
33.7545713,-84.4939606
33.8164724,-84.4438693
33.722141,-84.402457
33.6975544,-84.408392
33.7363263,-84.4263309
33.7602578,-84.4145281
33.7065243,-84.4536902
33.7713682,-84.4654993
33.7637732,-84.4321416
33.851962,-84.3822691
33.76608,-84.491176
33.678956,-84.399
33.7430548,-84.3971359
33.7119095,-84.3501986
33.7585631,-84.4628906
33.8120647,-84.3619651
33.7465898,-84.3767958
33.7874079,-84.3896125
33.7810649,-84.5085729
33.7325481,-84.395675
33.76624,-84.418226
33.6843432,-84.3871092
33.7555145,-84.3779598
33.7591912,-84.4178208
33.781209,-84.3881207
33.7467887,-84.3998149
33.7637388,-84.4197199
33.7743231,-84.3534644
33.64899,-84.360855
33.7904248,-84.4928514
33.7667773,-84.412485
33.733578,-84.414489
33.767054,-84.430863
33.7262205,-84.3877162
33.6834171,-84.3963971
33.7137102,-84.3593576
33.739839,-84.5122807
33.6832355,-84.4961404
33.6992836,-84.4846956
33.7150623,-84.3833302
33.7556669,-84.3775029
33.7234014,-84.399453
33.7080565,-84.380263
33.781266,-84.498648
33.7064782,-84.4574774
33.7839492,-84.3785932
33.7239263,-84.4617604
33.7674569,-84.3840823
33.763701,-84.417348
33.725887,-84.444296
33.7086317,-84.3601029
33.7219449,-84.3531996
33.7624606,-84.4428102
33.8194357,-84.3900209
33.7014142,-84.4553677
33.7666624,-84.5001116
33.8095495,-84.3662282
33.769816,-84.4120779
33.7131109,-84.4240894
33.764019,-84.4301078
33.7998749,-84.4675196
33.8057278,-84.4655259
33.7411183,-84.403972
33.7717453,-84.3724988
33.7199902,-84.5216464
33.7530926,-84.5182686
33.7704794,-84.4195603
33.64899,-84.360855
33.7702109,-84.456486
33.6509256,-84.3635377
33.7523216,-84.4144683
33.7540034,-84.4813773
33.7008366,-84.4505136
33.7047223,-84.4274526
33.7079755,-84.3791282
33.7555771,-84.3366834
33.71853,-84.4287636
33.7391431,-84.4303886
33.752636,-84.415286
33.7228904,-84.4022832
33.7076593,-84.4013591
33.712796,-84.3822293
33.7089053,-84.4144855
33.7319187,-84.4049954
33.718155,-84.4362574
33.7532836,-84.3894847
33.7581886,-84.5039894
33.752984,-84.3496587
33.6987734,-84.3962829
33.6981782,-84.3573528
33.7540794,-84.4905036
33.6613154,-84.5233493
33.7150437,-84.4332257
33.7568425,-84.4255388
33.712636,-84.41372
33.7378293,-84.4038414
33.7397733,-84.3376838
33.7584326,-84.4624076
33.7428862,-84.4290461
33.7543291,-84.458266
33.6844283,-84.4023556
33.728368,-84.4063669
33.684697,-84.3743609
33.7712936,-84.3865385
33.74966,-84.378838
33.7686405,-84.3939772
33.6613154,-84.5233493
33.7075153,-84.3617402
33.6759165,-84.4978238
33.7412501,-84.397416
33.763433,-84.40888
33.7707416,-84.3644225
